[Name]
Series 1 at Airfoilupper

[Data]
Xc,Cp
5.80726504e-01, -5.31422019e-01
6.16177261e-01, -4.60879833e-01
6.52969897e-01, -3.90264034e-01
6.91145062e-01, -3.20990533e-01
7.30739176e-01, -2.52670139e-01
7.71785498e-01, -1.83391452e-01
8.14316571e-01, -1.10954359e-01
8.58366609e-01, -3.43283601e-02
9.03970599e-01, 4.88700159e-02
9.51167166e-01, 1.28196701e-01
1.00000000e+00, 2.36322194e-01
9.50452864e-01, 2.11635172e-01
9.02619302e-01, 1.89462334e-01
8.56459856e-01, 1.74009472e-01
8.11917365e-01, 1.63050443e-01
7.68942058e-01, 1.56571120e-01
7.27493465e-01, 1.53121591e-01
6.87533319e-01, 1.51690811e-01
6.49023890e-01, 1.51080370e-01
6.11928940e-01, 1.50861308e-01
5.76210499e-01, 1.51459381e-01
5.41830659e-01, 1.54720113e-01
5.08755028e-01, 1.61924750e-01
4.76953328e-01, 1.72669441e-01
4.46396858e-01, 1.86485618e-01
4.17056829e-01, 2.03712344e-01
3.88905436e-01, 2.23684192e-01
3.61914188e-01, 2.45392650e-01
3.36054385e-01, 2.68956959e-01
3.11297446e-01, 2.94221044e-01
2.87614673e-01, 3.20762426e-01
2.64977068e-01, 3.48340720e-01
2.43355706e-01, 3.76813859e-01
2.22721875e-01, 4.06273663e-01
2.03046873e-01, 4.35936004e-01
1.84302077e-01, 4.64882493e-01
1.66460410e-01, 4.93119270e-01
1.49496362e-01, 5.21589637e-01
1.33387446e-01, 5.51226616e-01
1.18111528e-01, 5.82493484e-01
1.03648573e-01, 6.15831494e-01
8.99805352e-02, 6.51299000e-01
7.70916864e-02, 6.91190958e-01
6.49745166e-02, 7.40244627e-01
5.36281317e-02, 7.97549427e-01
4.30657826e-02, 8.53533685e-01
4.00289968e-02, 8.69863868e-01
3.67645174e-02, 8.92482996e-01
3.32785770e-02, 9.20520604e-01
2.95816995e-02, 9.50045109e-01
2.57018395e-02, 9.73603487e-01
2.16689967e-02, 9.89865959e-01
1.75416712e-02, 9.84695494e-01
1.34164114e-02, 9.53802466e-01
9.42840241e-03, 8.56304467e-01
5.79598825e-03, 6.38676822e-01
2.81350827e-03, 2.54908532e-01
8.05184362e-04, -3.45931917e-01
1.24555172e-05, -1.07074666e+00
4.54366731e-04, -1.73635161e+00
1.97477872e-03, -2.23190689e+00
4.32374841e-03, -2.53014088e+00
7.25957472e-03, -2.71019840e+00
1.05879838e-02, -2.77640128e+00
1.41704362e-02, -2.78199148e+00
1.79036614e-02, -2.79541945e+00
2.17138659e-02, -2.83208013e+00
2.55377162e-02, -2.87629676e+00
2.93206964e-02, -2.91467714e+00
3.30181122e-02, -2.94782662e+00
3.66048589e-02, -2.97412968e+00
4.00460027e-02, -2.99383378e+00
4.33293954e-02, -3.00877953e+00
4.64337617e-02, -3.01931739e+00
4.93542738e-02, -3.02805352e+00
5.20861186e-02, -3.04629970e+00
6.17044941e-02, -3.00596404e+00
7.22239912e-02, -2.98795605e+00
8.36592317e-02, -2.92837167e+00
9.60176587e-02, -2.83129907e+00
1.09300174e-01, -2.72124982e+00
1.23503983e-01, -2.59831285e+00
1.38626948e-01, -2.44523978e+00
1.54665485e-01, -2.27487111e+00
1.71620086e-01, -2.10643125e+00
1.89494818e-01, -1.94810653e+00
2.08298907e-01, -1.80189395e+00
2.28045478e-01, -1.66816282e+00
2.48751804e-01, -1.54487550e+00
2.70437419e-01, -1.42984331e+00
2.93123215e-01, -1.32175004e+00
3.16832602e-01, -1.22001266e+00
3.41590494e-01, -1.12459815e+00
3.67423326e-01, -1.03570700e+00
3.94358844e-01, -9.52922761e-01
4.22426343e-01, -8.75977755e-01
4.51654106e-01, -8.04017186e-01
4.82070357e-01, -7.35163569e-01
5.13702989e-01, -6.67786539e-01
5.46579063e-01, -6.00329459e-01


